iter	Passed	Remaining
734	968	349
735	969	347
736	970	346
737	972	345
738	973	343
739	974	342
740	975	341
741	976	339
742	977	338
743	979	336
744	980	335
745	981	334
746	982	332
747	983	331
748	984	330
749	985	328
750	987	327
751	988	325
752	989	324
753	990	323
754	992	321
755	993	320
756	994	319
757	995	317
758	997	316
759	998	315
760	999	313
761	1000	312
762	1001	311
763	1003	309
764	1004	308
765	1005	307
766	1006	305
767	1007	304
768	1008	302
769	1009	301
770	1010	300
771	1011	298
772	1012	297
773	1014	296
774	1015	294
775	1016	293
776	1017	292
777	1018	290
778	1019	289
779	1021	287
780	1022	286
781	1023	285
782	1024	283
783	1025	282
784	1026	281
785	1027	279
786	1028	278
787	1030	277
788	1031	275
789	1032	274
790	1033	273
791	1034	271
792	1035	270
793	1036	268
794	1037	267
795	1038	266
796	1040	264
797	1041	263
798	1042	262
799	1043	260
800	1044	259
801	1046	258
802	1047	256
803	1048	255
804	1049	254
805	1050	252
806	1051	251
807	1052	250
808	1054	248
809	1055	247
810	1056	246
811	1057	244
812	1058	243
813	1060	242
814	1061	240
815	1062	239
816	1063	238
817	1064	236
818	1065	235
819	1066	234
820	1067	232
821	1069	231
822	1070	230
823	1071	228
824	1072	227
825	1073	226
826	1075	224
827	1076	223
828	1077	222
829	1078	220
830	1079	219
831	1080	218
832	1082	216
833	1083	215
834	1084	214
835	1085	212
836	1086	211
837	1087	210
838	1088	208
839	1089	207
840	1091	206
841	1092	204
842	1093	203
843	1094	202
844	1095	200
845	1096	199
846	1097	198
847	1098	196
848	1100	195
849	1101	194
850	1102	193
851	1103	191
852	1104	190
853	1105	189
854	1106	187
855	1107	186
856	1109	185
857	1110	183
858	1111	182
859	1112	181
860	1113	179
861	1115	178
862	1116	177
863	1117	175
864	1118	174
865	1120	173
866	1121	171
867	1122	170
868	1123	169
869	1124	168
870	1125	166
871	1126	165
872	1128	164
873	1129	162
874	1130	161
875	1131	160
876	1132	158
877	1134	157
878	1135	156
879	1136	154
880	1137	153
881	1138	152
882	1140	151
883	1141	149
884	1142	148
885	1143	147
886	1144	145
887	1145	144
888	1146	143
889	1147	141
890	1149	140
891	1150	139
892	1151	137
893	1152	136
894	1153	135
895	1154	134
896	1155	132
897	1157	131
898	1158	130
899	1159	128
900	1160	127
901	1161	126
902	1162	124
903	1163	123
904	1165	122
905	1166	121
906	1167	119
907	1168	118
908	1169	117
909	1171	115
910	1172	114
911	1173	113
912	1174	111
913	1175	110
914	1176	109
915	1177	108
916	1178	106
917	1180	105
918	1181	104
919	1182	102
920	1183	101
921	1184	100
922	1185	98
923	1186	97
924	1187	96
925	1189	95
926	1190	93
927	1191	92
928	1192	91
929	1193	89
930	1194	88
931	1195	87
932	1196	85
933	1198	84
934	1199	83
935	1200	82
936	1201	80
937	1202	79
938	1203	78
939	1204	76
940	1206	75
941	1207	74
942	1208	73
943	1209	71
944	1210	70
945	1211	69
946	1212	67
947	1213	66
948	1215	65
949	1216	64
950	1217	62
951	1218	61
952	1219	60
953	1220	58
954	1221	57
955	1222	56
956	1224	54
957	1225	53
958	1226	52
959	1227	51
960	1228	49
961	1229	48
962	1230	47
963	1231	46
964	1232	44
965	1234	43
966	1235	42
967	1236	40
968	1237	39
969	1238	38
970	1239	37
971	1240	35
972	1241	34
973	1242	33
974	1243	31
975	1245	30
976	1246	29
977	1247	28
978	1248	26
979	1249	25
980	1250	24
981	1251	22
982	1252	21
983	1253	20
984	1255	19
985	1256	17
986	1257	16
987	1258	15
988	1259	14
989	1260	12
990	1261	11
991	1262	10
992	1263	8
993	1264	7
994	1265	6
995	1266	5
996	1268	3
997	1269	2
998	1270	1
999	1271	0
