iter	Passed	Remaining
654	1198	631
655	1200	629
656	1202	627
657	1204	626
658	1206	624
659	1207	622
660	1209	620
661	1211	618
662	1212	616
663	1215	614
664	1216	613
665	1218	611
666	1220	609
667	1221	607
668	1223	605
669	1224	603
670	1226	601
671	1227	599
672	1230	597
673	1232	595
674	1233	594
675	1235	592
676	1236	590
677	1238	588
678	1239	586
679	1241	584
680	1243	582
681	1246	581
682	1248	579
683	1250	577
684	1251	575
685	1253	573
686	1254	571
687	1256	569
688	1258	567
689	1261	566
690	1262	564
691	1264	562
692	1266	560
693	1267	558
694	1269	556
695	1270	555
696	1272	553
697	1274	551
698	1276	549
699	1278	547
700	1280	546
701	1282	544
702	1283	542
703	1285	540
704	1286	538
705	1288	536
706	1291	535
707	1292	533
708	1294	531
709	1296	529
710	1297	527
711	1299	525
712	1301	523
713	1302	521
714	1305	520
715	1307	518
716	1308	516
717	1310	514
718	1312	512
719	1313	510
720	1315	509
721	1317	507
722	1319	505
723	1321	503
724	1323	502
725	1325	500
726	1326	498
727	1328	496
728	1330	494
729	1331	492
730	1334	490
731	1336	489
732	1338	487
733	1339	485
734	1341	483
735	1343	481
736	1344	479
737	1346	478
738	1348	476
739	1350	474
740	1352	472
741	1353	470
742	1355	468
743	1357	467
744	1358	465
745	1360	463
746	1361	461
747	1363	459
748	1365	457
749	1367	455
750	1369	454
751	1370	452
752	1372	450
753	1374	448
754	1375	446
755	1377	444
756	1378	442
757	1381	441
758	1383	439
759	1384	437
760	1386	435
761	1387	433
762	1389	431
763	1390	429
764	1392	427
765	1394	425
766	1397	424
767	1398	422
768	1400	420
769	1401	418
770	1403	416
771	1404	414
772	1406	413
773	1408	411
774	1409	409
775	1412	407
776	1413	405
777	1415	403
778	1417	402
779	1418	400
780	1420	398
781	1421	396
782	1423	394
783	1425	392
784	1427	390
785	1429	389
786	1430	387
787	1431	385
788	1433	383
789	1435	381
790	1436	379
791	1437	377
792	1441	376
793	1443	374
794	1445	372
795	1446	370
796	1448	368
797	1450	367
798	1451	365
799	1453	363
800	1454	361
801	1456	359
802	1457	357
803	1459	355
804	1460	353
805	1462	351
806	1463	350
807	1465	348
808	1466	346
809	1468	344
810	1471	342
811	1472	341
812	1473	339
813	1475	337
814	1476	335
815	1476	333
816	1478	331
817	1479	329
818	1481	327
819	1482	325
820	1484	323
821	1487	322
822	1489	320
823	1490	318
824	1492	316
825	1493	314
826	1495	312
827	1497	310
828	1498	309
829	1500	307
830	1503	305
831	1505	303
832	1506	302
833	1508	300
834	1510	298
835	1511	296
836	1513	294
837	1515	292
838	1518	291
839	1519	289
840	1521	287
841	1523	285
842	1524	283
843	1526	282
844	1528	280
845	1530	278
846	1533	277
847	1535	275
848	1537	273
849	1538	271
850	1540	269
851	1542	267
852	1543	266
853	1546	264
854	1548	262
855	1550	260
856	1552	259
857	1553	257
858	1555	255
859	1556	253
860	1558	251
861	1562	250
862	1564	248
863	1565	246
864	1567	244
865	1569	242
866	1570	240
867	1572	239
868	1574	237
869	1577	235
870	1579	233
871	1581	232
872	1583	230
873	1584	228
874	1586	226
875	1587	224
876	1589	222
877	1592	221
878	1594	219
879	1595	217
880	1597	215
881	1598	213
882	1600	212
883	1602	210
884	1603	208
885	1606	206
886	1607	204
887	1609	203
888	1611	201
889	1612	199
890	1614	197
891	1616	195
892	1618	193
893	1620	192
894	1622	190
895	1623	188
896	1625	186
897	1627	184
898	1628	182
899	1630	181
900	1631	179
901	1633	177
902	1636	175
903	1637	173
904	1639	172
905	1641	170
906	1643	168
907	1644	166
908	1646	164
909	1647	162
910	1649	161
911	1652	159
912	1653	157
913	1655	155
914	1657	153
915	1658	152
916	1660	150
917	1661	148
918	1663	146
919	1665	144
920	1667	143
921	1669	141
922	1671	139
923	1673	137
924	1674	135
925	1676	133
926	1678	132
927	1679	130
928	1682	128
929	1683	126
930	1685	124
931	1687	123
932	1688	121
933	1690	119
934	1692	117
935	1693	115
936	1696	114
937	1698	112
938	1699	110
939	1701	108
940	1702	106
941	1704	104
942	1706	103
943	1707	101
944	1709	99
945	1711	97
946	1713	95
947	1715	94
948	1716	92
949	1718	90
950	1719	88
951	1721	86
952	1723	84
953	1725	83
954	1727	81
955	1729	79
956	1730	77
957	1732	75
958	1733	74
959	1735	72
960	1737	70
961	1738	68
962	1740	66
963	1742	65
964	1744	63
965	1746	61
966	1747	59
967	1749	57
968	1750	56
969	1752	54
970	1754	52
971	1756	50
972	1758	48
973	1760	46
974	1761	45
975	1763	43
976	1765	41
977	1766	39
978	1768	37
979	1770	36
980	1773	34
981	1775	32
982	1777	30
983	1778	28
984	1780	27
985	1782	25
986	1783	23
987	1785	21
988	1787	19
989	1789	18
990	1791	16
991	1792	14
992	1794	12
993	1796	10
994	1797	9
995	1799	7
996	1802	5
997	1804	3
998	1806	1
999	1807	0
